2021-04-29 18:14:06,991 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:47:35,793 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:47:35,793 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:47:35,793 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2021-04-29 18:47:35,793 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 5120, H: 1440
2021-04-29 18:47:35,805 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 10 results
2021-04-29 18:47:36,378 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 6 results
2021-04-29 18:47:36,541 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2021-04-29 18:47:36,730 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2021-04-29 18:47:37,301 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
